event_id,timestamp,pc,source,action,url,event_uid,user_hash
1,2025-01-01 09:43:00.000000,PC0001,logon,logon,,logon:1,88b53efa4c89ad7a3d90cf3c01046d714f1adff9827d0eb5754b4ef76c64f039
3,2025-01-01 09:12:00.000000,PC0002,logon,logon,,logon:3,a8848b387af6359642c71478f693e4643381802ccc97f2b0c353264d7729405c
5,2025-01-01 08:25:00.000000,PC0003,logon,logon,,logon:5,1481a18bb91c683c9f0e63a3c1ffe035a67c1ee64eae546985a4caedd691f154
7,2025-01-01 09:00:00.000000,PC0004,logon,logon,,logon:7,dab294f3951611f65a9b1e6408fbad19981d1b65b76c28c3408dac6a6b93bbc8
9,2025-01-01 08:20:00.000000,PC0005,logon,logon,,logon:9,227b301943873690ead2973a5f7d43ef587dc58b46733368a3f16daf8db98925
11,2025-01-01 08:50:00.000000,PC0006,logon,logon,,logon:11,4ef80c0c47503cd20d3a8157080fb28f38e6524b33375c23d5fcd98a2f64545e
13,2025-01-01 09:59:00.000000,PC0007,logon,logon,,logon:13,2b4a1e95204243f32c7235a27dbeae5a0e9d42da4c762132ac84c0817875d614
15,2025-01-01 08:58:00.000000,PC0008,logon,logon,,logon:15,ddee12fc509b00889675d637518a8f7dfe216a200b6ad812c397b77d8bccb88b
17,2025-01-01 08:26:00.000000,PC0009,logon,logon,,logon:17,b55080c0db11860ea934ecf297a13cf247817b3e34562a5897c18ff2cfa07f07
19,2025-01-01 08:47:00.000000,PC0010,logon,logon,,logon:19,9a31e4091d5c4c7fb8b9377b091ea9caa9cf26c36e62547a85992d9e109b1b9c
21,2025-01-01 09:29:00.000000,PC0011,logon,logon,,logon:21,ea171ad8a99227777c2e7c1664c91caf9c08e47d4ba5c09165812a6d9633998c
23,2025-01-01 09:31:00.000000,PC0012,logon,logon,,logon:23,2fdc8fb359ca03d047fec4ad4d7f3b9cfc23ebf54bee30aec8f1a6431bfd0d6e
25,2025-01-01 08:43:00.000000,PC0013,logon,logon,,logon:25,f26a64875adce083be80130e941dbfa6e94f2202ff0c463336c1300ecc5217f6
27,2025-01-01 08:14:00.000000,PC0014,logon,logon,,logon:27,3c32c4971223e549c349880665fa1e81f054571faf44435a8071b4de6b20dffb
29,2025-01-01 08:46:00.000000,PC0015,logon,logon,,logon:29,7d64092a6e7dfd07913942876a0c314955bce8dc9fcabd12166bcf1ad5666185
31,2025-01-01 08:19:00.000000,PC0016,logon,logon,,logon:31,e1a146fdbba0f457a2ea0a102e2c24872edc75865f95a9b842fcefa68e455266
33,2025-01-01 08:52:00.000000,PC0017,logon,logon,,logon:33,eecce08639c689fc3170d254f909a8dedd091d778d0ae7aa829c656b8d085cdd
35,2025-01-01 09:31:00.000000,PC0018,logon,logon,,logon:35,9e7a5e914136e41ca82c366fd529e02d961e7ed1a6019ff724f06dbe447fbb88
37,2025-01-01 09:35:00.000000,PC0019,logon,logon,,logon:37,e498ed2d854e821dd717169a7b55e586bb647b3bd1ef51990cbd4e847791cc49
39,2025-01-01 08:50:00.000000,PC0020,logon,logon,,logon:39,53a03335d3716bf67d3ed781065280a46863f8d947c2492c4e33cce33f4446d2
41,2025-01-01 09:07:00.000000,PC0021,logon,logon,,logon:41,1fddb883469b0cd0365153a0ebff0dbefb2b5a252dbaf2b9795ad45003650dcf
43,2025-01-01 08:57:00.000000,PC0022,logon,logon,,logon:43,369a478c83b6f436dd9aade49d6289f250e18ec2a71b9552d7d9bb884bb2b586
45,2025-01-01 08:22:00.000000,PC0023,logon,logon,,logon:45,e001292c71d84c28529aed04ab0af1efa767893752908a7b7645f33d09aab74b
47,2025-01-01 08:14:00.000000,PC0024,logon,logon,,logon:47,e72c6ef5ea8445fc95b1c3ca1c82368b6c9adc8a29368110f51d81735f76f11c
49,2025-01-01 09:53:00.000000,PC0025,logon,logon,,logon:49,13cc67e7ae2b0731f9c20a2adb450d0ab125f700d392f08a01f5019b4da3be89
51,2025-01-01 09:00:00.000000,PC0026,logon,logon,,logon:51,cc4113bc0f389ec5987bdc5cae8e94c8c01f0c5e127a5fc2b0ef752d7226c0ca
53,2025-01-01 08:28:00.000000,PC0027,logon,logon,,logon:53,62009223daa0ff462d9b377b2b31f5c85b4e95caf611f5339cbb2b5e1dc9cab5
55,2025-01-01 09:01:00.000000,PC0028,logon,logon,,logon:55,71c200742f059a8380e2f3dd53ca613e2cdd705c24898e5957d46fefeff67336
57,2025-01-01 23:29:00.000000,PC0029,logon,logon,,logon:57,269b850943bbddfb37b8186af3d0cd154525f08057e450bdb93ab26f06b9758d
59,2025-01-01 09:03:00.000000,PC0030,logon,logon,,logon:59,806e62fd6dd962469b9425c2f7b2550582df8623e5c711ade163292a626414aa
61,2025-01-01 08:09:00.000000,PC0031,logon,logon,,logon:61,eac146261339b15b8a1e873ed372802ae1c5198377cc8e0f4a23d21bcead9c02
63,2025-01-01 08:32:00.000000,PC0032,logon,logon,,logon:63,8eb9feaf80cb3b47e639148a128ff9ae2b814462106966998a7656825b71fa7d
65,2025-01-01 09:19:00.000000,PC0033,logon,logon,,logon:65,b66c51931f321cca81cc9195f90b3174ae82ebb56c74459770f7800e347ca3b0
67,2025-01-01 08:19:00.000000,PC0034,logon,logon,,logon:67,3e05c7d4c2f91af414e809d408787184297b351d1907c225f6f1e75fbec1f3a3
69,2025-01-01 09:56:00.000000,PC0035,logon,logon,,logon:69,bc60389887dd911a09f472d0f840e5a268d310cd13f422bfc6f811eb916ec82f
71,2025-01-01 09:01:00.000000,PC0036,logon,logon,,logon:71,5379232fec078f04af386b787ed0dc69b2a455a27e52e901c773a11d2d0bce7f
73,2025-01-01 08:39:00.000000,PC0037,logon,logon,,logon:73,4620b38a9a7c0abed1e91cfdc3926234d098446655b643be9342b610365aa1b6
75,2025-01-01 07:08:00.000000,PC0038,logon,logon,,logon:75,c734a9d4fd20facb7d4e2f69c7a7be0a0263956653fc71b8d25ad3ed7a1ba446
77,2025-01-01 09:12:00.000000,PC0039,logon,logon,,logon:77,32c184d9780b5545a856a0a366a71b86deb3a80c4dc92142aaf6bb3437c336b1
79,2025-01-01 09:55:00.000000,PC0040,logon,logon,,logon:79,44e2b71da8273f1b00b9ec55361a1e542f6812bce0acd27214d62e7de86dd6d0
81,2025-01-01 08:55:00.000000,PC0041,logon,logon,,logon:81,85bf8422bdd496aa90249b85acbd42b16a6a0ed3121a586f0bcc607d16d09d80
83,2025-01-01 09:39:00.000000,PC0042,logon,logon,,logon:83,49b020eb7c127b73472cb4fc893577b87b48690b941ca1067751e5a6e3eab262
85,2025-01-01 08:37:00.000000,PC0043,logon,logon,,logon:85,f441fbdfbb3a65b7660b581790ec8633cd5e9a2bc3450e46f6f6d948e0ebd96b
87,2025-01-01 09:46:00.000000,PC0044,logon,logon,,logon:87,924ed1bb3874124ad2e307aa33a7e5791cc81dd30c0c079d54cfc1ea14ee310a
89,2025-01-01 08:45:00.000000,PC0045,logon,logon,,logon:89,6ac76fd52b6451030fdaa8cce0d1126104c034aa0d6cff3c078311dce03e36e5
91,2025-01-01 09:01:00.000000,PC0046,logon,logon,,logon:91,61127469ce0c27e2d19e0e5ecece9227e60515e12a899bc8bbc29e1c8f68a78f
93,2025-01-01 08:45:00.000000,PC0047,logon,logon,,logon:93,cb50b7517e0741a49adb67908546647f1da3398d8c72f00f00e9ba111909654b
95,2025-01-01 08:23:00.000000,PC0048,logon,logon,,logon:95,d111a1427a39ed7f2d2483db714c5e0d79823bc9ecc62a126e1d144d374d286a
97,2025-01-01 09:24:00.000000,PC0049,logon,logon,,logon:97,939b9328b580200251e640b1f2170850525f4fefe336c98f053407a0725f9849
99,2025-01-01 09:49:00.000000,PC0050,logon,logon,,logon:99,9e007677846640b2acc599b1d1d498a20ff8260eeda2d49338e3b6ed111045a9
101,2025-01-01 08:48:00.000000,LAB015,logon,logon,,logon:101,6e0553bc94f1b3457a68943cdeb271536fa0ca87652900b8c47b6b4e2eabc4b7
103,2025-01-01 08:44:00.000000,PC0052,logon,logon,,logon:103,ec8eef52024b6815e3113797e206a360a9c324efc2f400801d5eb1179b75a43d
105,2025-01-01 08:19:00.000000,PC0053,logon,logon,,logon:105,69295bad69cbd357f13dc891b598791ab746ad0ed9cea2f9da57019f70c847b6
107,2025-01-01 09:09:00.000000,PC0054,logon,logon,,logon:107,768115c2eaa5bf872b6f73af67403e31127811d5dfdaa65f5998e7f57a6be1ca
109,2025-01-01 09:48:00.000000,PC0055,logon,logon,,logon:109,f02fff917d5e1f556f7ca2d8e8ddde98179be018c2669a269bf40d4f64b627f7
111,2025-01-01 08:37:00.000000,PC0056,logon,logon,,logon:111,7b291901ed6fc90c51c56024b33122026451c19dfa4736a37621d21afa86ab5a
113,2025-01-01 09:38:00.000000,PC0057,logon,logon,,logon:113,012fb52705cf3c18e19ff7f562c781dcd1736f3e5615ace007e35dee4740f412
115,2025-01-01 08:40:00.000000,PC0058,logon,logon,,logon:115,f17b0eabd2530f1710fc19c34c4d29cc782a669753833ca0d88f524467cdf67f
117,2025-01-01 08:22:00.000000,PC0059,logon,logon,,logon:117,1481cde120f4ec5a6626478c9222dacd947d0d027e33aa5175c391d3f10b05fd
119,2025-01-01 09:30:00.000000,PC0060,logon,logon,,logon:119,5088fc658035905665368960c940882faf61610a4e1ce57a24c6ffc946f0f5a8
121,2025-01-01 09:25:00.000000,PC0061,logon,logon,,logon:121,1e13a5c6539e75908d998e36f94f2baee29b17d341286f7a2af3163b528a2fcc
123,2025-01-01 09:18:00.000000,PC0062,logon,logon,,logon:123,620ea76a7f314a9faecfaadf110510d2abcf73e79e56e93b476e80794b9e251f
125,2025-01-01 09:30:00.000000,PC0063,logon,logon,,logon:125,0bc6fa557a874432991fb3bef6cc8fecfed275284ca1549c6f502f2f2f86388f
127,2025-01-01 08:57:00.000000,PC0064,logon,logon,,logon:127,b8e6c17d68aafa670b598b1cf0c0bd73a2937d6abb11055fded76b5e53231165
129,2025-01-01 09:44:00.000000,PC0065,logon,logon,,logon:129,c5a8e30eed6744da0b641f474ebb407a75bc6fd07bd6e3c7aeb522c884dd456b
131,2025-01-01 08:35:00.000000,PC0066,logon,logon,,logon:131,12881006a16563a03436c3185999cce893916a7f93bd295d9e51c610390a5400
133,2025-01-01 08:00:00.000000,PC0067,logon,logon,,logon:133,1e813ac9d9c5fbfa50cba6f0032edaff8652f398c5508cc13faa4cc0af6fc3b9
135,2025-01-01 08:43:00.000000,PC0068,logon,logon,,logon:135,685e9623979d1c18a11af39701aaf24188e1a40aee4c205c4d3220d26708793d
137,2025-01-01 08:27:00.000000,PC0069,logon,logon,,logon:137,0604919ff2aebe087b97959084f1fffe2fd89b7e92f8997d6249f5617f0ec041
139,2025-01-01 09:45:00.000000,PC0070,logon,logon,,logon:139,603fcd2b8449630833d1b6c7313a10e8a2176025a45ca54002988df4de8536dd
141,2025-01-01 09:41:00.000000,PC0071,logon,logon,,logon:141,4bef524b2f19749989b990b1af1747f137bfe1d7fbf78fa1358ddfc45b247cf1
143,2025-01-01 08:10:00.000000,PC0072,logon,logon,,logon:143,3634cd4e250467a39545675e2f7386734815df9c667903c8c83b43450723a792
145,2025-01-01 09:55:00.000000,PC0073,logon,logon,,logon:145,77a935bf01e27db1c86c62c6082710b6fe7046028279183cc90fc11b5a21dd3c
147,2025-01-01 08:57:00.000000,PC0074,logon,logon,,logon:147,18757c67dbbb1f193d93dfd2c81d93f261d3cc1ab2b6b4a27daddb2a42f0c1e2
149,2025-01-01 09:11:00.000000,PC0075,logon,logon,,logon:149,7faca1558937aea9797473b24d153f084fc8bc52e7e16da8f8bf4c48b587b358
151,2025-01-01 09:22:00.000000,PC0076,logon,logon,,logon:151,c2fa44374f0aab02cb57c9ed348bb43c1fd456bfdf5b296c4f72174a002cd27f
153,2025-01-01 08:14:00.000000,PC0077,logon,logon,,logon:153,cca321773f148695c0ffc5ed365db650aadc5ecdd13b4ddb3e6b57f38bf5a719
155,2025-01-01 09:41:00.000000,PC0078,logon,logon,,logon:155,27ef13206d1090bf126d0f8dd08b66cc346b18eb199192600e14cdc52d7c9a35
157,2025-01-01 09:09:00.000000,PC0079,logon,logon,,logon:157,34977907ef51b1295028838fb56ded6159cee0d58c3200a0276324aac366417c
159,2025-01-01 08:19:00.000000,PC0080,logon,logon,,logon:159,0b9c9b2a643d502fb0470c0e2d25bd40592ae24d88e27a9cca008632f6491e86
161,2025-01-02 22:20:00.000000,PC0001,logon,logon,,logon:161,88b53efa4c89ad7a3d90cf3c01046d714f1adff9827d0eb5754b4ef76c64f039
163,2025-01-02 09:46:00.000000,LAB011,logon,logon,,logon:163,a8848b387af6359642c71478f693e4643381802ccc97f2b0c353264d7729405c
165,2025-01-02 09:35:00.000000,PC0003,logon,logon,,logon:165,1481a18bb91c683c9f0e63a3c1ffe035a67c1ee64eae546985a4caedd691f154
167,2025-01-02 09:35:00.000000,PC0004,logon,logon,,logon:167,dab294f3951611f65a9b1e6408fbad19981d1b65b76c28c3408dac6a6b93bbc8
