user_hash,day,total_events,unique_pcs,canary_hit,logon_count,after_hours_logon_count,usb_connect_count,after_hours_usb_connect_count,url_count,after_hours_url_count,unique_domains,work_duration_hours,context_score
012fb52705cf3c18e19ff7f562c781dcd1736f3e5615ace007e35dee4740f412,2025-01-01,9,1,False,1.0,0.0,0.0,0.0,8.0,3.0,8.0,9.7,0.15
0604919ff2aebe087b97959084f1fffe2fd89b7e92f8997d6249f5617f0ec041,2025-01-01,10,1,False,1.0,0.0,0.0,0.0,9.0,0.0,9.0,6.35,0.0
0b9c9b2a643d502fb0470c0e2d25bd40592ae24d88e27a9cca008632f6491e86,2025-01-01,12,1,False,1.0,0.0,0.0,0.0,11.0,0.0,11.0,8.566666666666666,0.0
0bc6fa557a874432991fb3bef6cc8fecfed275284ca1549c6f502f2f2f86388f,2025-01-01,14,1,False,1.0,0.0,0.0,0.0,13.0,4.0,13.0,9.933333333333334,0.15
12881006a16563a03436c3185999cce893916a7f93bd295d9e51c610390a5400,2025-01-01,10,1,False,1.0,0.0,0.0,0.0,9.0,0.0,9.0,8.033333333333333,0.0
13cc67e7ae2b0731f9c20a2adb450d0ab125f700d392f08a01f5019b4da3be89,2025-01-01,15,1,False,1.0,0.0,0.0,0.0,14.0,0.0,14.0,6.083333333333333,0.0
1481a18bb91c683c9f0e63a3c1ffe035a67c1ee64eae546985a4caedd691f154,2025-01-01,12,1,False,1.0,0.0,0.0,0.0,11.0,0.0,11.0,7.566666666666666,0.0
1481cde120f4ec5a6626478c9222dacd947d0d027e33aa5175c391d3f10b05fd,2025-01-01,8,1,False,1.0,0.0,0.0,0.0,7.0,0.0,7.0,4.133333333333334,0.0
18757c67dbbb1f193d93dfd2c81d93f261d3cc1ab2b6b4a27daddb2a42f0c1e2,2025-01-01,8,1,False,1.0,0.0,0.0,0.0,7.0,0.0,7.0,6.233333333333333,0.0
1e13a5c6539e75908d998e36f94f2baee29b17d341286f7a2af3163b528a2fcc,2025-01-01,16,1,False,1.0,0.0,0.0,0.0,15.0,0.0,15.0,6.533333333333333,0.0
1e813ac9d9c5fbfa50cba6f0032edaff8652f398c5508cc13faa4cc0af6fc3b9,2025-01-01,16,1,False,1.0,0.0,0.0,0.0,15.0,0.0,15.0,7.133333333333334,0.0
1fddb883469b0cd0365153a0ebff0dbefb2b5a252dbaf2b9795ad45003650dcf,2025-01-01,8,1,False,1.0,0.0,0.0,0.0,7.0,0.0,7.0,8.1,0.0
227b301943873690ead2973a5f7d43ef587dc58b46733368a3f16daf8db98925,2025-01-01,11,1,False,1.0,0.0,0.0,0.0,10.0,0.0,10.0,6.633333333333334,0.0
269b850943bbddfb37b8186af3d0cd154525f08057e450bdb93ab26f06b9758d,2025-01-01,7,1,False,1.0,1.0,0.0,0.0,6.0,6.0,6.0,2.2,0.35
27ef13206d1090bf126d0f8dd08b66cc346b18eb199192600e14cdc52d7c9a35,2025-01-01,11,1,False,1.0,0.0,0.0,0.0,10.0,0.0,10.0,6.45,0.0
